equipo_tag,temp_motor_c,presion_hidraulica_psi,vibracion_rodamientos_mm_s,presion_aceite_psi,temp_refrigerante_c,rpm_motor,voltaje_sistema_v,corriente_a,desgaste_componente_hrs,falla_maquina,tipo_falla
PALA-01,87.27,3255.12,1.95,58.25,81.32,1719.3,27.64,180.31,1692.6,0,NORMAL
PALA-02,76.35,3426.23,3.01,51.24,77.75,1466.7,26.18,118.47,1972.8,0,NORMAL
PALA-02,87.8,3134.23,2.02,60.21,81.7,1754.2,26.63,150.45,2210.7,0,NORMAL
PALA-02,80.57,3029.22,1.15,51.99,81.23,1846.8,27.5,188.52,1517.8,0,NORMAL
CARG-01,84.7,3216.55,2.01,49.09,73.56,2003.0,25.41,179.56,2239.4,0,NORMAL
PALA-01,77.92,3239.08,2.13,49.52,78.84,1729.8,26.09,142.49,359.1,0,NORMAL
PALA-03,82.64,1935.23,1.93,35.95,84.76,1823.1,27.1,222.43,1782.1,1,FALLA_PRESION_HIDRAULICA
PALA-03,83.41,3627.31,0.85,57.1,82.95,1722.6,28.38,108.91,1189.3,0,NORMAL
PALA-01,75.32,3163.83,4.1,59.3,78.21,1914.4,24.81,170.96,747.1,0,NORMAL
PALA-03,84.74,3042.34,5.24,57.13,83.48,1669.2,26.31,189.64,180.2,0,NORMAL
PALA-01,88.06,3233.15,1.73,54.94,88.02,1759.5,26.9,203.24,2744.1,0,NORMAL
PALA-01,81.21,3413.41,1.82,55.59,79.3,1792.4,27.07,164.27,468.7,0,NORMAL
CARG-02,88.12,3253.13,2.02,56.96,83.97,1766.6,28.2,186.8,639.8,0,NORMAL
CARG-02,81.15,3337.41,1.88,50.99,83.33,1627.4,25.88,160.15,630.2,0,NORMAL
CARG-01,85.82,3093.13,1.17,47.55,79.09,1555.1,26.21,218.4,3432.5,0,NORMAL
PALA-02,72.02,3517.78,2.9,51.57,76.47,1842.5,25.1,171.3,924.2,0,NORMAL
PALA-01,92.88,3351.11,2.97,56.72,87.6,1750.1,26.5,200.6,692.7,0,NORMAL
PALA-03,88.73,3438.59,1.86,50.76,85.35,1729.0,26.81,119.55,3393.9,0,NORMAL
PALA-02,80.72,3315.73,1.79,64.65,79.89,1827.0,28.07,156.01,2213.9,0,NORMAL
PALA-01,73.13,3398.48,1.77,56.21,85.85,1821.4,27.76,178.88,2404.6,0,NORMAL
PALA-02,83.3,3092.85,2.86,54.6,83.22,1763.0,27.61,178.57,2861.5,0,NORMAL
PALA-01,75.5,3161.55,1.99,50.97,85.82,1796.3,25.84,140.11,1934.6,0,NORMAL
CARG-02,102.58,3492.37,1.72,58.58,94.82,1657.0,26.74,94.87,1922.7,1,FALLA_TERMICA
PALA-02,83.85,3530.75,0.98,47.94,79.37,1784.1,26.71,98.39,3494.2,0,NORMAL
PALA-03,77.76,3043.53,3.09,55.58,87.29,1531.7,26.77,126.84,2430.2,0,NORMAL
PALA-02,87.04,3294.95,1.31,51.82,91.61,1722.4,26.37,257.56,2504.7,0,NORMAL
PALA-03,85.63,3172.43,0.97,54.6,79.44,1809.7,27.3,53.75,354.2,0,NORMAL
PALA-03,86.39,3124.53,2.62,56.43,79.37,1633.7,26.12,154.13,444.3,0,NORMAL
PALA-01,82.04,3301.27,1.98,48.27,83.73,1737.1,26.66,149.71,1801.6,0,NORMAL
CARG-02,75.63,3455.37,5.38,45.65,82.38,1756.2,27.56,161.48,2564.1,0,NORMAL
CARG-01,108.12,3331.3,0.9,49.34,110.38,1613.1,28.12,157.12,2650.8,1,FALLA_TERMICA
CARG-02,80.78,3192.49,1.44,58.4,72.35,1855.5,25.74,125.69,2753.0,0,NORMAL
CARG-02,75.75,3342.68,2.61,55.87,80.05,1758.4,26.84,195.66,2509.2,0,NORMAL
PALA-03,88.08,3185.2,1.93,51.99,84.22,1518.9,26.76,102.9,454.5,0,NORMAL
CARG-02,91.45,3324.18,2.15,63.84,71.58,1730.9,27.38,225.45,2927.0,0,NORMAL
PALA-01,81.81,3501.36,2.14,60.43,74.53,1894.5,27.71,175.81,2695.3,0,NORMAL
PALA-01,91.72,2876.11,0.7,59.22,73.9,1719.5,26.13,128.1,1338.4,0,NORMAL
PALA-01,103.87,3393.51,2.22,50.38,110.71,1641.9,26.34,135.83,1460.0,1,FALLA_TERMICA
PALA-02,80.29,2972.97,2.81,59.16,77.28,1654.6,26.46,200.04,1959.8,0,NORMAL
PALA-02,79.16,3471.1,1.21,55.7,76.2,1700.8,26.78,113.02,3475.3,0,NORMAL
PALA-02,89.37,3135.34,1.25,50.39,81.22,1574.5,27.06,161.73,2617.5,0,NORMAL
CARG-01,78.49,3030.82,1.56,53.48,76.04,1888.3,26.1,158.91,2940.3,0,NORMAL
PALA-02,85.31,3375.15,0.96,48.81,82.81,1830.9,27.89,157.98,759.5,0,NORMAL
PALA-02,102.5,3315.55,1.13,50.43,107.78,1849.3,24.94,179.08,1794.9,1,FALLA_TERMICA
PALA-03,79.93,3070.15,2.04,48.28,79.53,1539.6,25.44,182.56,1991.2,0,NORMAL
PALA-01,86.64,3024.46,3.54,58.78,73.23,1735.4,26.89,174.46,202.6,0,NORMAL
CARG-01,80.29,3216.25,1.46,53.65,79.19,1849.4,26.27,199.23,434.7,0,NORMAL
PALA-01,80.18,3033.26,4.28,49.29,82.96,1606.4,25.95,169.02,789.8,0,NORMAL
CARG-02,87.1,3058.93,1.45,56.59,82.56,1711.3,27.17,142.44,3097.7,0,NORMAL
CARG-01,89.19,3270.81,2.94,54.01,84.35,1588.1,27.05,120.41,2724.4,0,NORMAL
PALA-01,84.9,3076.14,1.29,59.25,78.62,1820.1,27.4,162.16,1727.8,0,NORMAL
PALA-01,79.05,3326.78,2.38,54.67,79.88,1694.2,25.57,173.65,2755.5,0,NORMAL
CARG-01,79.7,3518.23,4.0,46.81,71.19,1708.9,27.05,98.14,1848.3,0,NORMAL
CARG-01,82.36,3223.26,2.65,51.52,83.46,1584.6,27.04,175.52,3230.6,0,NORMAL
CARG-01,83.44,3273.43,1.83,48.21,75.76,1905.8,25.59,129.49,1034.1,0,NORMAL
CARG-01,77.55,3613.26,1.77,56.82,81.8,1726.1,26.43,128.46,460.1,0,NORMAL
PALA-01,85.25,3036.23,2.39,59.42,77.52,1815.0,27.18,165.27,219.2,0,NORMAL
PALA-02,82.38,3464.42,2.77,46.28,80.65,1766.1,27.47,86.53,1561.8,0,NORMAL
PALA-01,94.28,3442.75,2.93,53.38,101.06,1610.9,26.28,210.65,1103.2,1,FALLA_TERMICA
CARG-02,77.82,3403.78,2.05,59.76,79.25,1523.1,25.52,191.91,3387.5,0,NORMAL
PALA-03,79.73,3482.51,2.35,46.2,78.04,1697.0,27.63,118.37,3094.2,0,NORMAL
PALA-02,81.67,3300.5,1.26,51.82,81.01,1852.8,26.43,153.4,1533.3,0,NORMAL
PALA-01,90.5,3145.07,2.51,54.0,78.43,1483.7,24.89,165.34,107.3,0,NORMAL
PALA-02,83.07,3447.02,1.31,59.34,77.23,1953.8,26.21,133.79,374.3,0,NORMAL
PALA-02,78.22,3453.91,2.16,56.72,88.47,1820.0,27.31,142.6,793.2,0,NORMAL
CARG-01,82.99,3448.96,1.64,57.75,73.58,1742.9,25.42,155.71,1403.2,0,NORMAL
PALA-03,80.42,3258.01,3.79,57.01,83.62,1706.1,26.49,159.6,2815.8,0,NORMAL
CARG-02,83.46,3121.08,2.04,52.13,80.46,1823.0,26.14,155.35,2992.2,0,NORMAL
PALA-02,84.61,3284.45,3.99,62.22,77.7,1573.5,26.37,161.97,3496.9,0,NORMAL
PALA-01,87.44,3419.6,1.94,50.65,82.39,1773.1,26.05,173.12,1882.4,0,NORMAL
CARG-01,81.89,3434.38,4.33,40.11,81.14,1757.0,26.8,148.25,3320.8,0,NORMAL
CARG-01,89.38,3172.66,2.56,45.0,86.28,1935.5,26.22,175.17,2303.5,0,NORMAL
PALA-03,86.09,3306.77,0.73,53.42,76.46,1676.2,26.93,200.93,1699.0,0,NORMAL
CARG-01,78.82,3014.42,1.66,52.34,78.94,1725.4,26.11,175.82,515.8,0,NORMAL
PALA-02,91.94,3427.29,1.37,51.32,85.05,1712.0,27.29,220.94,3212.3,0,NORMAL
PALA-03,83.47,3109.0,1.0,54.75,80.18,1658.0,26.41,110.91,3133.7,0,NORMAL
PALA-02,78.24,3391.35,1.33,60.0,83.19,1897.4,25.43,139.6,3084.1,0,NORMAL
PALA-01,89.44,3043.13,1.49,56.27,85.86,1603.0,25.72,172.73,3374.7,0,NORMAL
PALA-01,91.35,3435.65,0.7,57.24,83.25,1537.9,25.47,168.49,2875.8,0,NORMAL
PALA-01,81.85,3307.93,0.77,48.6,78.56,1749.3,25.52,146.49,69.1,0,NORMAL
PALA-03,79.73,3109.36,1.81,51.4,79.6,1633.0,25.35,181.45,2516.9,0,NORMAL
PALA-02,81.22,3374.44,2.5,57.5,85.89,1750.5,25.53,167.29,1484.6,0,NORMAL
PALA-03,85.22,3143.73,5.44,54.54,81.62,1796.0,26.4,201.16,3307.2,0,NORMAL
CARG-02,87.75,3384.92,3.61,56.39,80.19,1737.5,26.99,122.9,2755.9,0,NORMAL
PALA-01,84.57,3200.66,1.78,57.07,82.53,1722.9,25.32,161.95,2820.8,0,NORMAL
PALA-02,82.46,2940.21,2.01,54.83,75.86,1472.6,25.76,144.43,425.4,0,NORMAL
CARG-01,88.74,3073.17,2.62,61.91,80.05,1787.1,27.04,190.01,1651.5,0,NORMAL
PALA-01,80.59,3172.53,1.85,51.34,80.69,1743.5,26.27,179.12,1622.7,0,NORMAL
PALA-01,86.64,3496.27,2.06,49.9,80.62,1944.9,25.03,143.15,1756.3,0,NORMAL
PALA-02,80.7,3412.21,1.33,45.18,79.42,1856.5,26.43,195.03,2796.8,0,NORMAL
PALA-01,83.94,3542.3,1.97,57.74,79.76,1542.2,26.69,159.23,810.7,0,NORMAL
CARG-02,81.49,3547.65,2.11,51.15,80.54,1847.3,26.65,116.49,669.1,0,NORMAL
CARG-01,81.75,3153.74,1.01,60.33,86.84,1564.0,28.2,151.11,3009.7,0,NORMAL
PALA-03,80.3,3216.07,2.59,55.24,72.19,1820.0,25.8,241.14,2930.1,0,NORMAL
CARG-02,88.05,3175.97,2.65,52.31,83.8,1894.4,27.28,153.36,2348.4,0,NORMAL
CARG-01,78.7,3129.13,2.71,48.73,80.65,1944.0,26.38,168.29,265.8,0,NORMAL
PALA-01,78.67,2918.53,1.35,58.23,80.75,1672.5,26.77,170.08,2534.2,0,NORMAL
CARG-02,91.54,3247.35,4.0,53.73,79.38,1804.7,25.88,158.49,422.2,0,NORMAL
PALA-03,86.4,3018.6,1.67,55.34,83.01,1841.1,25.86,213.63,1419.2,0,NORMAL
CARG-01,71.27,3243.85,1.07,57.02,84.8,1776.5,25.4,185.66,2945.8,0,NORMAL
CARG-02,79.46,3630.84,3.86,55.33,73.42,1519.4,25.23,182.85,155.6,0,NORMAL
PALA-02,73.85,3158.32,1.18,49.75,89.38,1738.5,26.94,150.58,2238.3,0,NORMAL
PALA-01,77.72,3285.06,2.32,56.61,81.58,1788.3,25.97,184.34,1955.7,0,NORMAL
PALA-01,67.88,3413.2,1.46,58.1,81.44,1719.8,28.44,149.22,1350.2,0,NORMAL
PALA-02,81.38,3300.45,0.84,55.8,75.42,1617.0,26.02,174.96,785.1,0,NORMAL
CARG-01,76.86,3302.65,1.16,57.16,78.72,1695.9,26.94,232.26,621.6,0,NORMAL
CARG-02,82.27,3184.77,3.64,57.63,86.44,1828.1,26.44,214.66,2948.1,0,NORMAL
PALA-01,74.69,3208.26,2.02,52.02,81.27,1767.2,24.94,155.92,431.7,0,NORMAL
PALA-03,82.37,3077.2,1.53,51.83,82.66,1775.9,25.32,167.83,3379.8,0,NORMAL
PALA-02,80.13,3402.29,1.73,65.13,79.16,1690.2,25.19,121.57,726.5,0,NORMAL
PALA-01,88.76,2936.53,1.08,60.63,88.88,1771.2,27.58,151.51,2538.7,0,NORMAL
PALA-01,88.35,3424.8,1.28,53.76,80.39,1467.2,27.44,82.16,1972.5,0,NORMAL
PALA-02,85.53,2997.33,2.94,57.41,85.52,1714.7,27.94,191.98,1341.6,0,NORMAL
CARG-02,80.53,4174.43,2.22,49.31,80.39,1674.3,24.62,312.69,3204.1,1,FALLA_SOBRECARGA
PALA-02,90.93,3186.31,1.97,51.01,82.39,1723.3,25.3,156.63,167.8,0,NORMAL
PALA-03,75.01,3028.26,1.8,47.77,82.41,1579.3,26.88,144.13,2696.2,0,NORMAL
CARG-01,75.68,4485.29,0.77,55.43,84.7,1764.4,25.79,345.86,2601.7,1,FALLA_SOBRECARGA
PALA-02,81.62,3417.18,1.88,55.49,83.96,1950.7,26.96,207.91,2932.8,0,NORMAL
CARG-02,92.14,3171.15,2.94,59.42,79.1,1729.7,26.04,209.4,3126.4,0,NORMAL
CARG-02,81.09,3379.71,1.44,52.94,85.64,1725.6,25.96,115.3,1627.7,0,NORMAL
PALA-02,81.18,2838.68,1.9,59.33,77.04,2020.9,24.95,182.9,2379.1,0,NORMAL
PALA-02,75.51,3012.29,0.51,57.26,76.27,1606.3,25.94,129.49,2034.6,0,NORMAL
PALA-02,86.26,3482.63,3.49,66.3,79.83,1779.4,26.7,165.2,2091.4,0,NORMAL
PALA-02,86.29,3209.74,4.02,62.34,82.57,1909.6,25.61,193.72,136.1,0,NORMAL
PALA-01,85.55,2914.8,4.01,61.46,76.91,1673.2,26.45,150.87,3371.8,0,NORMAL
PALA-03,79.17,3124.2,0.82,58.18,80.69,1822.3,25.56,167.72,609.2,0,NORMAL
PALA-03,78.82,3083.79,3.06,49.53,75.46,1740.0,25.78,138.34,1479.6,0,NORMAL
PALA-01,76.18,4283.53,0.4,55.46,79.92,1591.0,25.84,369.05,2466.4,1,FALLA_SOBRECARGA
PALA-02,82.38,3183.26,3.14,65.24,84.89,1700.3,26.77,152.41,785.1,0,NORMAL
CARG-02,77.14,3282.21,1.95,56.53,77.63,1716.2,27.09,141.3,450.7,0,NORMAL
PALA-01,76.7,3237.5,1.64,49.89,76.11,1643.7,27.87,171.91,3140.3,0,NORMAL
PALA-01,80.09,3494.75,3.05,55.68,82.51,1527.2,27.02,192.21,2052.6,0,NORMAL
PALA-02,79.8,3326.42,2.08,49.05,77.85,1670.6,26.69,111.18,514.7,0,NORMAL
CARG-02,79.58,3332.38,1.27,49.72,90.69,1540.6,27.82,176.02,3061.9,0,NORMAL
PALA-01,84.1,3459.73,2.74,56.06,81.77,1785.0,26.62,142.56,700.9,0,NORMAL
PALA-03,82.36,3180.02,3.43,57.7,85.1,1785.9,26.89,183.35,2318.3,0,NORMAL
CARG-01,80.7,3022.86,2.94,50.01,75.74,1567.0,27.17,141.87,3001.6,0,NORMAL
PALA-01,82.82,3467.25,3.03,51.2,82.83,1729.8,26.54,129.78,2187.9,0,NORMAL
CARG-01,77.54,3274.45,1.08,46.87,76.98,1558.7,26.35,135.15,74.1,0,NORMAL
PALA-02,82.47,3275.08,1.51,53.35,80.28,1676.6,26.27,165.79,2291.3,0,NORMAL
PALA-03,82.68,3136.0,2.24,44.27,77.99,1639.7,25.94,178.75,2008.7,0,NORMAL
PALA-03,75.24,3138.97,3.82,52.5,85.16,1777.6,26.0,138.13,1871.9,0,NORMAL
PALA-03,86.48,3402.41,1.29,54.4,82.28,1525.7,27.25,161.93,1106.2,0,NORMAL
PALA-01,78.03,3427.24,3.72,45.22,81.47,1838.0,25.52,137.42,2211.4,0,NORMAL
CARG-01,82.41,3391.09,0.7,48.96,86.44,1867.3,26.51,146.9,107.0,0,NORMAL
PALA-02,87.24,3392.73,3.49,53.7,81.06,1702.7,26.38,142.73,1837.6,0,NORMAL
PALA-01,86.17,3352.43,3.34,53.02,85.12,1558.5,25.26,135.23,1182.4,0,NORMAL
PALA-01,82.15,3273.67,4.79,53.25,88.2,1468.8,27.07,117.31,215.1,0,NORMAL
PALA-03,80.37,3218.43,3.13,55.44,81.56,1851.4,25.33,157.41,955.4,0,NORMAL
PALA-03,86.26,3467.86,2.34,45.64,82.04,1958.1,25.8,199.65,2936.5,0,NORMAL
PALA-01,85.04,3182.73,1.65,57.54,84.82,1725.2,26.33,162.98,941.5,0,NORMAL
PALA-03,79.22,3316.6,1.55,52.41,86.75,1580.5,27.59,149.57,1678.6,0,NORMAL
PALA-01,78.42,3105.28,1.92,51.02,81.51,1588.6,26.82,188.2,2000.0,0,NORMAL
PALA-03,72.67,3131.33,1.59,44.68,78.45,1861.8,26.65,142.77,1040.6,0,NORMAL
PALA-01,82.69,3207.49,2.74,52.66,84.47,1740.3,27.48,166.75,1924.7,0,NORMAL
PALA-03,81.63,3105.29,3.1,56.56,83.29,1603.7,26.19,105.55,3346.3,0,NORMAL
PALA-02,87.11,3393.61,1.24,54.71,84.43,1995.9,28.0,159.85,685.6,0,NORMAL
CARG-02,83.62,3007.35,3.17,54.85,83.79,1845.4,26.8,148.35,3128.0,0,NORMAL
PALA-01,88.0,3267.86,2.42,52.3,81.83,1785.9,26.51,94.82,1986.0,0,NORMAL
PALA-02,78.86,3273.85,1.71,53.7,82.06,1653.0,24.96,144.32,2738.6,0,NORMAL
PALA-01,87.12,2924.06,3.45,48.46,83.81,1868.7,27.18,77.78,2117.0,0,NORMAL
CARG-02,79.62,3170.62,1.34,53.98,75.2,1825.8,26.83,139.34,1103.3,0,NORMAL
CARG-02,85.5,3296.03,0.99,51.54,86.32,1707.2,26.22,177.28,2032.5,0,NORMAL
PALA-02,75.44,3327.17,1.31,48.38,82.8,1850.6,26.0,128.25,1519.9,0,NORMAL
PALA-03,83.06,3213.22,1.51,57.77,77.62,1845.5,19.84,135.13,2098.6,1,FALLA_ELECTRICA
CARG-01,73.07,3371.84,3.39,46.12,81.74,1752.9,25.76,106.8,2000.7,0,NORMAL
PALA-03,80.8,3230.32,5.36,56.62,86.27,1582.4,26.68,170.1,2389.2,0,NORMAL
PALA-03,83.98,3252.46,3.3,56.94,82.16,1597.4,26.43,144.5,2551.5,0,NORMAL
PALA-01,79.66,3295.3,2.03,51.36,78.07,1529.8,26.95,158.58,1939.5,0,NORMAL
PALA-01,77.27,3416.86,0.64,59.15,75.9,1879.0,24.86,200.22,2847.0,0,NORMAL
CARG-02,85.81,3128.37,1.38,51.26,90.86,1544.7,26.94,125.0,2416.1,0,NORMAL
CARG-02,81.53,3162.37,4.56,50.94,74.04,1724.1,27.68,204.25,926.7,0,NORMAL
PALA-03,79.8,3129.6,3.0,48.0,82.35,1529.1,24.88,151.07,3288.8,0,NORMAL
PALA-02,82.19,3190.2,0.61,53.96,78.65,1922.0,25.64,196.79,295.1,0,NORMAL
PALA-02,93.87,3506.72,0.46,49.21,85.17,1580.5,26.85,156.06,2233.9,0,NORMAL
CARG-01,109.59,3353.09,2.93,50.04,96.95,1758.7,26.29,102.79,2162.5,1,FALLA_TERMICA
CARG-02,87.23,3046.4,3.76,53.67,87.43,1531.8,26.94,116.55,1583.3,0,NORMAL
CARG-02,83.96,3141.92,1.13,53.88,80.5,1824.5,27.0,150.87,1696.5,0,NORMAL
CARG-01,82.75,3317.1,1.35,60.28,80.12,1850.2,26.58,101.79,2732.3,0,NORMAL
PALA-03,71.22,3086.83,3.25,58.66,79.75,1722.1,27.81,178.55,2541.7,0,NORMAL
PALA-01,97.63,3119.44,1.71,56.75,104.94,1712.1,27.0,188.7,1479.3,1,FALLA_TERMICA
PALA-01,79.84,3492.09,1.83,53.27,79.53,1817.3,25.34,108.09,788.9,0,NORMAL
CARG-02,73.56,3139.59,1.79,51.98,83.87,1646.8,26.96,150.03,263.2,0,NORMAL
PALA-03,76.79,3421.84,2.14,53.87,74.11,1850.7,26.37,156.74,2548.5,0,NORMAL
PALA-01,95.01,3475.96,2.37,51.22,94.42,1755.6,26.84,184.11,2452.3,1,FALLA_TERMICA
PALA-01,81.83,1731.62,4.75,27.0,86.98,1531.2,27.33,174.35,1032.1,1,FALLA_PRESION_HIDRAULICA
PALA-03,85.68,3089.81,1.64,53.61,80.64,1941.6,27.69,145.52,3337.8,0,NORMAL
PALA-01,86.98,3200.3,1.83,49.61,78.71,1742.1,26.47,110.49,2295.3,0,NORMAL
PALA-01,83.87,3054.05,1.07,49.92,75.9,1679.4,27.07,160.05,2347.2,0,NORMAL
PALA-03,77.66,3271.79,2.13,58.77,76.32,1739.8,25.54,155.47,1993.5,0,NORMAL
PALA-03,73.31,3212.98,3.37,47.1,84.93,1633.8,26.03,131.29,2279.2,0,NORMAL
PALA-03,74.09,3314.9,1.34,48.8,77.71,1701.7,25.95,234.12,3496.8,0,NORMAL
PALA-01,76.29,3501.45,1.24,60.37,84.22,1814.7,27.23,166.05,2815.2,0,NORMAL
CARG-01,78.0,3397.15,3.22,52.04,77.08,1802.5,27.78,137.25,1507.7,0,NORMAL
PALA-01,81.28,3338.06,2.36,60.88,80.5,1794.4,28.95,140.4,722.6,0,NORMAL
PALA-02,77.44,2896.11,1.25,48.16,80.72,1647.9,27.09,189.13,2648.9,0,NORMAL
CARG-01,83.53,3329.81,2.19,54.37,77.99,1616.7,27.3,201.62,3082.9,0,NORMAL
PALA-03,80.95,3560.07,1.18,57.86,81.31,1766.5,25.02,181.6,1853.4,0,NORMAL
CARG-01,82.05,2708.11,1.68,49.47,72.54,1812.5,24.97,195.58,3236.1,0,NORMAL
PALA-03,87.13,3374.09,1.76,62.37,80.65,1632.1,25.7,116.66,1976.2,0,NORMAL
PALA-03,76.69,3221.32,3.2,52.05,82.78,1692.7,25.4,158.41,797.3,0,NORMAL
PALA-01,83.88,3097.04,2.66,56.55,77.66,1767.1,26.81,119.72,1519.8,0,NORMAL
PALA-02,81.94,3394.2,3.29,50.61,81.85,1708.5,27.79,188.13,1504.7,0,NORMAL
PALA-02,80.5,3557.75,1.66,61.46,81.61,1858.9,26.41,191.4,651.0,0,NORMAL
PALA-01,85.98,3389.54,2.53,55.52,81.77,1563.0,25.88,125.35,2422.5,0,NORMAL
CARG-02,85.96,3183.19,0.75,64.49,75.62,1545.6,26.64,139.02,2955.8,0,NORMAL
PALA-02,77.74,3080.18,1.22,59.9,81.38,1851.5,25.82,126.27,770.8,0,NORMAL
CARG-02,81.18,3276.03,0.98,58.19,74.11,1794.1,25.97,167.89,2699.3,0,NORMAL
PALA-03,83.27,3407.17,2.96,49.22,78.48,1730.9,26.24,156.47,552.8,0,NORMAL
CARG-01,80.77,3180.33,4.34,54.42,80.98,1679.9,26.71,161.34,1195.8,0,NORMAL
PALA-03,84.63,3197.73,1.8,52.42,81.83,1776.5,25.07,148.56,2601.2,0,NORMAL
PALA-03,83.27,3757.96,2.63,54.13,76.16,1742.7,24.78,224.15,1429.6,0,NORMAL
PALA-02,90.25,3444.16,2.6,54.74,79.86,1755.9,25.71,193.59,77.6,0,NORMAL
PALA-01,75.11,3457.02,4.14,49.5,84.18,1711.9,26.82,154.97,2860.0,0,NORMAL
CARG-01,81.45,2987.15,1.68,53.22,77.08,1784.2,25.39,106.45,823.7,0,NORMAL
PALA-02,77.91,3122.71,2.1,53.52,72.39,1830.2,27.87,100.68,3000.6,0,NORMAL
PALA-01,84.72,4181.16,1.24,48.95,83.12,1828.5,27.08,273.75,927.3,1,FALLA_SOBRECARGA
PALA-03,74.72,3069.8,1.03,58.0,77.23,1774.9,26.94,175.34,929.1,0,NORMAL
PALA-01,83.56,3538.07,2.8,55.11,78.44,1719.6,27.08,154.26,3099.1,0,NORMAL
CARG-02,79.16,3503.86,1.38,58.07,81.52,1773.3,26.74,203.12,1255.7,0,NORMAL
CARG-02,78.7,3153.96,1.42,56.44,81.31,1863.4,26.81,185.09,2349.9,0,NORMAL
CARG-02,75.49,3571.11,2.5,45.43,85.09,1701.5,27.39,81.96,1281.8,0,NORMAL
PALA-02,79.91,3249.23,1.75,49.83,80.03,1687.3,27.2,131.25,1917.5,0,NORMAL
PALA-01,86.88,3716.09,2.83,62.27,81.27,1779.2,26.64,101.26,2709.2,0,NORMAL
CARG-02,81.89,3276.04,2.86,57.93,74.23,1808.6,27.94,145.93,3218.8,0,NORMAL
PALA-02,84.82,3353.71,2.2,45.89,83.51,1707.9,26.46,170.86,2298.8,0,NORMAL
CARG-02,89.49,3501.98,2.07,56.35,78.23,1774.1,26.04,162.64,1363.6,0,NORMAL
CARG-02,83.19,3479.97,4.3,49.84,93.92,1619.2,25.21,159.38,1409.5,0,NORMAL
CARG-02,79.49,3341.93,1.87,43.52,80.15,1718.7,25.82,118.93,588.5,0,NORMAL
PALA-02,84.1,3224.59,2.92,62.29,82.7,1906.4,27.36,240.87,2000.9,0,NORMAL
PALA-02,79.55,3342.54,1.18,54.38,83.55,1792.9,26.37,165.34,2955.7,0,NORMAL
CARG-02,79.73,3103.09,2.05,55.08,80.65,1642.4,26.78,215.02,499.1,0,NORMAL
PALA-02,75.16,3277.38,2.93,47.72,82.75,1658.4,26.46,188.6,950.5,0,NORMAL
PALA-01,86.17,3050.32,1.27,48.23,90.02,1570.8,25.44,181.33,116.8,0,NORMAL
PALA-03,80.26,2929.44,1.93,46.04,77.98,1914.8,26.17,181.37,1865.0,0,NORMAL
CARG-02,82.82,3259.08,2.02,61.08,72.03,1600.6,25.73,140.57,250.7,0,NORMAL
PALA-03,77.34,3477.21,10.04,45.78,75.79,1416.5,26.05,139.35,3487.0,1,FALLA_DESGASTE_RODAMIENTOS
